instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
PROVEUSDT,7,PROVEUSDT,PROVE,USDT,50.0,1.0,0.0001
DRIFT,7,DRIFT-USDT,DRIFT,USDT,20.0,4.0,1e-05
PYTHUSDT,7,PYTHUSDT,PYTH,USDT,75.0,4.0,1e-05
SIGNUSDT,7,SIGNUSDT,SIGN,USDT,50.0,1.0,1e-05
DOTUSD,7,DOTUSD_PERP,DOT,USD,20.0,8.0,0.001
SANDUSDT,7,SANDUSDT,SAND,USDT,75.0,1.0,1e-05
SAHARAUSDT,7,SAHARAUSDT,SAHARA,USDT,50.0,1.0,1e-05
GMTUSDT,7,GMTUSDT,GMT,USDT,50.0,1.0,1e-05
DOGEUSD,7,DOGEUSD_PERP,DOGE,USD,25.0,8.0,1e-05
SAGA,7,SAGA-USDT,SAGA,USDT,3.0,4.0,1e-05
AERO,7,AERO-USDT,AERO,USDT,10.0,4.0,0.0001
AEVOUSDT,7,AEVOUSDT,AEVO,USDT,50.0,1.0,1e-05
AEROUSDT,7,AEROUSDT,AERO,USDT,75.0,1.0,0.0001
RUNE,7,RUNE-USDT,RUNE,USDT,5.0,8.0,0.0001
RIVERUSDT,7,RIVERUSDT,RIVER,USDT,50.0,1.0,0.001
DYDXUSDT,7,DYDXUSDT,DYDX,USDT,75.0,8.0,0.001
ARKMUSDT,7,ARKMUSDT,ARKM,USDT,50.0,1.0,0.0001
SKYUSDT,7,SKYUSDT,SKY,USDT,50.0,1.0,1e-05
EDGE,7,EDGE-PERP,EDGE,USDC,5.0,1.0,1e-06
STRKUSDT,7,STRKUSDT,STRK,USDT,75.0,1.0,1e-05
ETHFIUSDT,7,ETHFIUSDT,ETHFI,USDT,75.0,1.0,0.0001
STORJUSDT,7,STORJUSDT,STORJ,USDT,50.0,1.0,0.0001
ETCUSDT,7,ETCUSDT,ETC,USDT,75.0,8.0,0.001
OPNUSDT,7,OPNUSDT,OPN,USDT,50.0,1.0,0.0001
STBLUSDT,7,STBLUSDT,STBL,USDT,50.0,1.0,1e-05
STABLEUSDT,7,STABLEUSDT,STABLE,USDT,75.0,1.0,1e-05
ORDIUSDT,7,ORDIUSDT,ORDI,USDT,75.0,1.0,0.001
PARTIUSDT,7,PARTIUSDT,PARTI,USDT,25.0,1.0,1e-05
PAXGUSDT,7,PAXGUSDT,PAXG,USDT,50.0,1.0,0.01
ENJUSDT,7,ENJUSDT,ENJ,USDT,50.0,1.0,1e-05
PIPPINUSDT,7,PIPPINUSDT,PIPPIN,USDT,25.0,1.0,1e-05
SOONUSDT,7,SOONUSDT,SOON,USDT,50.0,1.0,0.0001
PLUMEUSDT,7,PLUMEUSDT,PLUME,USDT,75.0,1.0,1e-05
SNXUSDT,7,SNXUSDT,SNX,USDT,75.0,1.0,0.001
GMT,7,GMT-USDT,GMT,USDT,3.0,4.0,1e-05
ROSEUSDT,7,ROSEUSDT,ROSE,USDT,75.0,1.0,1e-05
GMX,7,GMX-USDT,GMX,USDT,3.0,8.0,0.001
ZILUSDT,7,ZILUSDT,ZIL,USDT,75.0,1.0,1e-05
AXSUSDT,7,AXSUSDT,AXS,USDT,75.0,1.0,0.001
AZTEC,7,AZTEC-USDT,AZTEC,USDT,5.0,4.0,1e-05
LTCUSD,7,LTCUSD_PERP,LTC,USD,20.0,8.0,0.01
ZEN,7,ZEN-USDT,ZEN,USDT,5.0,8.0,0.001
